"V1","V2","V3","V4"
1.49440013903078,0.883989070749878,0,0.00948811744305078
1.43585758269545,0.902763856026116,0,0
1.39678262099023,1.12226408251942,0,0
1.40757263897446,1.10014842478549,0.0208338188480208,0.0168985075187876
1.36149985628674,1.1213458170468,0.0941273651157104,0.000825612293590239
1.39572476723697,1.10034491311403,0.00156762888546658,0
1.31798316478628,0.932088722845704,0,0.028800278312366
1.23215010936618,1.22083205572848,0,0
1.21321504353221,0.758617648605693,0,0
1.18783889646408,0.779125751728305,0,0
1.21392645730282,0.854388839353755,0.00145822617807712,0.0258807171629001
1.16997749748054,0.938192550057639,0,0.0198738247621619
1.24530158113024,0.695704173947498,0,0
0.967137745693481,0.616967473466035,0,0.00226450837744874
0.997852531004978,0.595649555056136,0.000573320649307041,0
1.02597243941875,0.618655656551732,0,0
1.13459008642749,0.929083877481979,0,0.0378944567607966
1.14855570475144,0.79662068725769,0,0.0235087001315899
1.15603646229011,0.73668188712905,0,0.0272160301744514
1.12810030330176,0.620485334255634,0.00773120505120772,0
1.08409203500917,0.723120777462341,0,0
1.04922547530225,0.656814545755223,0,0
1.1236503961772,0.811868387056381,0,0
1.29078090194908,0.862692819499373,0,0
1.25676305687308,0.903501474632221,0,0
1.28724032428397,0.942752157141846,0,0
1.14428637989414,0.887372637717254,0,0
1.31647062811255,1.11034594428947,0,0
1.35400365038656,1.20547443705276,0.00283043422437834,0
1.3594405115286,1.18027743642991,0,0.00137756016411084
1.42893349175479,1.04303556016578,0,0.00573870437528612
1.52630824245214,1.11894188995899,0,0.000670949023288792
1.61561420011798,1.19592981355627,0.00151030926687508,0.00124970249071432
1.28877065784838,1.06603511693733,0.0043695153733608,0.00238413478452992
1.31861065356033,1.12934210292048,0,0
1.31639552689826,1.14430687054893,0,0.0285094594565472
1.46873786966164,1.03642055561415,0,0.00698615744261391
1.46784851046408,1.23668954521455,0.00125142529534106,0
1.68341268653671,1.32622335502076,0.013662695129963,0
1.83681151360685,1.39643447665266,0.000974407987053505,0.00437092647092685
1.81513786468431,1.59510397660769,0,0
