"V1","V2","V3","V4","V5","V6"
1.65328748918558,2.05075575498867,1.67050264790076,1.42048606436367,0.523050433598263,0.786825117438602
1.81903264488272,1.80725791337313,1.67050264790076,1.42048606436367,0.777112116905573,0.786825117438602
1.81903264488272,1.80725791337313,1.23128454487079,1.42048606436367,0.720989243047678,0.786825117438602
1.81903264488272,1.80725791337313,1.23128454487079,1.70077453972967,0.720989243047678,0.711771091660258
1.360470476477,1.71574134143371,1.23128454487079,1.31714553552935,0.55313067264708,0.654047222708356
1.360470476477,1.71574134143371,1.81272487036582,1.42980104859053,0.771672281100463,0.654047222708356
1.360470476477,1.71574134143371,1.81272487036582,1.42980104859053,0.709882217434792,0.869244156558501
0.997378017575582,1.71574134143371,1.52512070340271,1.38149966476355,0.696063727275232,0.690736065944418
1.55345527477663,1.71574134143371,1.52512070340271,1.38149966476355,0.696063727275232,0.784015659651282
1.48054528711415,1.71574134143371,1.52512070340271,1.44990796341672,0.696063727275232,0.784015659651282
1.25006494212491,1.71574134143371,1.65086442536496,1.44990796341672,0.657964927437689,0.784015659651282
1.25006494212491,1.71574134143371,1.53714808096161,1.11887961920473,0.657964927437689,0.768395420572219
1.3227442091322,1.01431846352544,1.53714808096161,1.479636237882,0.657964927437689,0.768395420572219
1.3227442091322,1.39285328820776,1.53714808096161,1.479636237882,0.892046716714746,0.768395420572219
1.3227442091322,2.24233975670676,1.53714808096161,1.04667292103778,0.784483970989727,0.768395420572219
1.23032664892917,1.44716551876958,1.53714808096161,1.57005268392706,0.555224744423971,0.768395420572219
1.23032664892917,2.08138585606826,1.53714808096161,1.08304563653314,0.848108394525035,0.767567731551795
1.23032664892917,1.8792978933927,1.498337166179,1.45370772185042,0.644031828854481,0.750443260857292
1.43260202014319,1.8399474833917,1.37031351646393,1.45370772185042,0.669901044088578,0.586664121328729
1.55507771148098,1.42195407984574,1.37031351646393,1.84475172327857,0.552106435098942,0.88486383840735
1.55507771148098,1.42195407984574,1.75774202180191,1.84475172327857,0.552106435098942,0.88486383840735
1.55282217936106,1.14847274722857,1.5431180956836,1.79509189925129,0.552106435098942,0.88486383840735
1.55282217936106,0.993794086233029,1.5431180956836,1.68805652527133,0.552106435098942,0.740138273199983
